postcode, Installations Quantity Total ,SGU Rated Output In kW Total,latitude,longitude
3639,150,1209.473,-35.9921604,145.005249
3640,279,3084.985,-36.0111562,145.4693163
3641,286,2086.755,-35.9078595,145.4471613
3643,41,206.2,-25.274398,133.775136
3644,1995,15366.677,-35.9546799,145.736481
3646,133,668.93,-36.2251044,145.7133909
3647,2,34.95,-36.3969441,145.6967281
3649,94,527.92,-36.0834857,145.6911745
3658,1177,6396.007,-37.2372916,145.093449
3659,186,1085.35,-37.1126329,145.1155133
3660,1285,7369.741,-37.0435482,145.2480193
3661,37,114.304,-25.274398,133.775136
3662,8,89.09,-36.9514451,144.9171412
3663,60,425.302,-36.9383316,145.1596592
3664,283,1610.827,-36.9214551,145.3364703
3665,101,486.36,-36.8222633,145.3807298
3666,1149,6472.13,-36.7549385,145.5801757
3669,330,1662.543,-36.6078959,145.7133909
3670,151,701.345,-36.6394628,145.8690603
3671,86,454.34,-25.274398,133.775136
3672,1845,10865.835,-36.6181709,145.9804173
3673,438,2391.1,-36.675664,146.1588712
3675,495,2605.48,-36.5103613,146.1812023
3676,147,608.7,-25.274398,133.775136
3677,2980,17217.688,-36.3742363,146.3264849
3678,1671,10533.274,-36.7132294,146.5168094
3682,162,1041.677,-36.1723841,146.4495924
3683,409,1937.055,-36.1761422,146.5840737
3685,716,4660.871,-36.0564816,146.4495924
3687,244,1157.751,-35.9852648,146.4383942
3688,335,1762.036,-36.1542047,146.7299747
3689,101,374.121,-25.274398,133.775136
3690,5382,32520.462,-36.1118041,146.8423556
3691,2485,16192.075,-36.2373927,146.9661233
3694,15,97.894,-25.274398,133.775136
3695,102,556.398,-36.3055342,147.1238691
3697,142,775.99,-36.6673311,147.168985
3698,264,1288.151,-36.762851,147.1351462
3699,181,1112.18,-36.8124613,147.3270485
3700,313,1946.043,-36.2031354,147.168985
3701,318,2272.628,-36.5560587,147.3722545
3704,10,52.065,-36.1192035,147.5306312
3705,69,376.433,-36.1622621,147.8026919
3707,469,2502.374,-36.4104992,147.9162555
3708,20,104.145,-36.0660058,147.9048938
3709,100,591.733,-36.0696807,147.6892483
3711,149,740.055,-37.430404,145.702282
3712,77,765.03,-37.3476485,145.8245558
3713,250,1285.115,-37.3038068,145.9804173
3714,759,4335.788,-37.1872994,145.6245586
3715,78,428.518,-36.9771194,145.7356129
3717,740,4234.956,-37.3030137,145.402868
3718,23,129.43,-37.1696241,145.5136433
3719,126,749.82,-37.0473079,145.6023644
3720,198,1320.952,-37.0207039,145.8690603
3722,1219,8545.721,-37.0313019,146.1365456
3723,735,4433.567,-37.2909944,146.2929381
3724,18,152.945,-25.274398,133.775136
3725,149,795.37,-36.4002774,145.958135
3726,101,473.785,-36.3378842,146.002705
3727,77,323.66,-36.2467001,145.958135
3728,159,787.5,-36.1554528,145.9135867
3730,2224,12938.778,-36.0520717,145.8913207
3732,153,832.702,-36.7449213,146.3153013
3733,48,354.865,-36.748307,146.4160017
3735,115,798.52,-36.5231859,146.5840737
3736,33,142.04,-25.274398,133.775136
3737,825,5149.861,-36.8466834,146.6962857
3738,43,257.29,-36.6120774,146.7749116
3739,48,425.67,-36.6332007,146.8423556
3740,243,1286.029,-36.8264122,146.8760951
3741,740,4295.36,-36.882628,147.0562333
3744,110,547.454,-36.7907956,146.9773826
3746,122,536.524,-36.3225392,146.5280168
3747,1185,6333.094,-36.3851254,146.6962857
