Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Sector
MINDARIE REGIONAL COUNCIL,17 015 003 687,"61,495",0,"15,754",Other
YOLARNO PTY LTD,95 002 255 183,"61,126","18,493","277,257",Other
CITY OF KALGOORLIE-BOULDER,63 711 737 609,"60,451","7,007","61,124",Other
CONSOLIDATED BROKEN HILL INVESTMENTS PTY LTD,91 095 427 900,"60,125",146,"854,616",Other
SOUTH AUSTRALIAN WATER CORPORATION,69 336 525 019,"59,716","134,696","2,461,010",Other
BRISTOW HELICOPTERS AUSTRALIA PTY LTD.,92 000 565 579,"59,554",243,"849,963",Other
KILCOY INDUSTRIES AUSTRALIA PTY LTD,16 125 927 308,"59,410","36,803","634,153",Other
MOUNT GIBSON IRON LIMITED,87 008 670 817,"59,295",726,"870,368",Other
BOORTMALT AUSTRALIA PTY LTD,70 634 393 338,"59,289","18,855","1,257,363",Other
STRAIT LINK AUSTRALIA HOLDINGS PTY LTD,62 649 025 963,"58,576","8,536","852,465",Other
NOBLE DRILLING AUSTRALIA PTY LTD,55 106 414 108,"58,254",0,"438,401",Other
SYDNEY WATER CORPORATION,49 776 225 038,"57,754","298,872","2,455,845",Other
MCCAIN FOODS (AUST) PTY LTD,96 000 629 587,"57,444","74,707","1,948,997",Other
FLETCHER BUILDING (AUSTRALIA) PTY LTD,11 093 539 452,"57,386","240,149","3,328,159",Other
INGHAMS GROUP LIMITED,39 162 709 506,"54,762","157,332","1,738,912",Other
BOOTH TRANSPORT PTY LTD,98 007 678 622,"53,825","2,324","776,154",Other
EASTERN METROPOLITAN REGIONAL COUNCIL,89 631 866 056,"52,611",776,"32,159",Other
HUME CITY COUNCIL,14 854 354 856,"52,459","16,201","178,393",Other
WATER CORPORATION,28 003 434 917,"52,173","595,616","3,548,678",Other
RIDLEY CORPORATION LIMITED,33 006 708 765,"51,789","55,455","1,223,514",Other
ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48 135 315 767,"51,768","120,923","1,507,014",Other
NSW TRAINS,50 325 560 455,"51,139","152,221","1,425,625",Other
COOPER ENERGY LIMITED,93 096 170 295,"51,115","1,487","886,105",Other
ENDEAVOUR GROUP LIMITED,77 159 767 843,"50,214","329,981","1,810,462",Other
GRAINCORP LIMITED,60 057 186 035,"50,012","78,577","1,163,308",Other
REGIONAL POWER CORPORATION,57 955 011 697,"49,787","24,053","781,115",Other
VENTURA MOTORS PROPRIETARY LIMITED,67 004 235 518,"49,558","1,935","711,509",Other
SUEZ ANZ HOLDINGS PTY LTD,94 653 823 726,"48,579","522,456","2,644,842",Other
LANCO RESOURCES AUSTRALIA PTY LTD,30 147 835 452,"48,055","5,116","670,132",Other
WINDFIELD HOLDINGS PTY LTD,60 160 456 164,"47,228","109,577","1,262,797",Other
IBERDROLA AUSTRALIA LIMITED,39 105 051 616,"46,982","6,728","797,443",Other
DIRECT FREIGHT EXPRESS PTY LIMITED,66 060 136 870,"46,881","3,315","686,423",Other
MSF SUGAR PTY LTD,11 009 658 708,"45,567","4,471","8,652,482",Other
ETEX HOLDING AUSTRALIA II PTY LTD,86 003 621 181,"43,716","16,387","911,841",Other
CEMENT AUSTRALIA PTY LIMITED,75 104 053 474,"43,686","38,581","839,083",Other
HYDRO-ELECTRIC CORPORATION,48 072 377 158,"43,385","24,033","1,388,518",Other
SORBENT PAPER HOLDINGS PTY LTD,20 631 219 906,"42,890","104,730","1,223,602",Other
CRAIG MOSTYN HOLDINGS PTY LIMITED,14 008 398 356,"42,754","20,494","464,546",Other
MACKAY SUGAR LIMITED,12 057 463 671,"42,565","17,206","15,421,977",Other
RCI HOLDINGS PTY LTD,55 101 671 121,"42,015","75,516","959,389",Other
CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY,86 673 835 011,"41,478","68,760","635,636",Other
29METALS LIMITED,95 650 096 094,"40,268","144,800","1,480,418",Other
ACCIONA INFRASTRUCTURE ASIA PACIFIC PTY LTD,19 609 210 139,"40,119","21,173","670,294",Other
THALES AUSTRALIA HOLDINGS PTY LTD,84 058 583 841,"39,463","39,901","478,418",Other
VEOLIA WATER AUSTRALIA PTY LTD,99 061 161 279,"38,868","213,673","1,569,205",Other
QUEENSLAND RAIL,68 598 268 528,"38,244","265,615","1,745,932",Other
TASSAL GROUP LIMITED,15 106 067 270,"37,213","29,519","748,151",Other
LACTALIS AUSTRALIA PTY LTD,56 072 928 879,"36,422","97,707","1,133,327",Other
ELECTRICITY NETWORKS CORPORATION,18 540 492 861,"34,476","703,062","4,108,226",Other
PTH NO 1 PTY LTD,43 611 116 155,"34,327","39,246","666,129",Other
THE TRUSTEE FOR AFF OPERATIONS TRUST,95 372 342 995,"33,710","24,264","600,117",Other
MINJAR GOLD PTY LTD,15 119 514 528,"33,077","83,735","893,292",Other
A B C TISSUE PRODUCTS PTY LTD,33 003 085 112,"32,961","62,995","920,126",Other
AURELIA METALS LIMITED,37 108 476 384,"32,892","80,986","922,755",Other
LION PTY LTD,50 128 004 268,"31,856","35,118","718,933",Other
TELSTRA CORPORATION LIMITED,33 051 775 556,"31,543","1,040,346","5,284,566",Other
MMG MANAGEMENT PTY LTD,33 115 312 680,"31,261","112,335","1,722,576",Other
AAPC LIMITED,87 009 175 820,"30,690","139,396","1,186,190",Other
ASSOCIATED KILN DRIERS PTY. LIMITED,34 004 341 048,"30,275","65,471","3,211,301",Other
AERIS RESOURCES LIMITED,30 147 131 977,"29,572","72,750","773,989",Other
NESTLE AUSTRALIA LTD,77 000 011 316,"29,527","91,458","1,350,424",Other
PEPSICO FOODS GROUP PTY LTD,71 122 527 137,"29,162","25,484","701,619",Other
EAGERS AUTOMOTIVE LIMITED,87 009 680 013,"29,067","26,104","660,888",Other
MONDELEZ AUSTRALIA HOLDINGS PTY LIMITED,86 004 880 817,"29,062","49,829","859,133",Other
UNITED MALT GROUP LIMITED,61 140 174 189,"28,238","24,291","651,377",Other
